Location,Linkoping,,,,,,,,,,,,,,,
Commodity,Wheat,Variety,,,,,,,,,,,,,,
Period : ,from, 1651,to, 1735,,,,,,,,,,,
, 1681,, .638715360882901, 16.1495934119998,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1682,, .653061224489796, 16.446272,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1683,, .851224105461394, 20.8325344812124,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1684,, .818051282051282, 21.0217092102564,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1685,, .638344400458508, 16.4446857469136,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1686,, .576057111607645, 14.6465775437057,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1687,, .533333333333333, 13.7052266666667,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1688,, .584545266210897, 15.0212350694013,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1689,, .818051282051282, 21.0217092102564,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1690,, .6, 15.41838,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1691,, .615515635395875, 15.8170899374584,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1692,, .663123655989071, 17.0404875250479,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1693,, .7085346215781, 18.2074267310789,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1694,, .72, 18.502056,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1695,, .7, 17.98811,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1696,, .645435977692387, 17.7469792860234,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1697,, .813350689571218, 22.311728550689,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1698,, .942309975486535, 25.4861002950563,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1699,, .904215965357152, 22.8873702926738,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1700,, .941176470588235, 23.9044651162791,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1701,, .764381624264086, 18.8431380562689,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1702,, .943589743589744, 22.9084457364341,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1703,, 1.06896871477926, 27.0685311135338,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1704,, .996371285321317, 25.1393042704715,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1705,, .887807496859583, 22.7401537352438,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1706,, .706788701267238, 18.1775790573,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1707,, .617323403522532, 15.9214993804213,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1708,, .697497166733219, 18.0454941962406,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1709,, .976828330106953, 24.5613381123059,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1710,, .776145164932817, 20.2291168511685,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1711,, .748580889994745, 18.9602948804542,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1712,, .636816788186275, 16.2298168035748,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1713,, .789242500326502, 20.9164069767442,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1714,, .898214255045056, 23.2269087567481,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1715,, .620329588310488, 15.6333384030418,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1716,, .655889974175458, 17.0448559325397,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1717,, .471305514037842, 12.5081136729717,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1718,, .691557537646604, 20.7888269662921,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1719,, .696617076324159, 18.1411935194186,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1720,, .587723433688967, 15.0155327314105,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1721,, .456495460114008, 11.6472820196051,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1722,, .764699447860109, 19.4466054054054,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1723,, .880709348112384, 22.4832688772542,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1724,, 1.10576660666818, 28.2821638633687,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1725,, .8635549696319, 22.5011184079602,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1726,, .794755606404793, 20.3032966754592,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1727,, .797044398746779, 20.1402972520908,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1728,, .797496100386201, 20.2682929577465,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1729,, .658897915745625, 16.8982006212664,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1730,, .702536429500964, 17.9861864768952,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1731,, .678774355204364, 17.4092062480314,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1732,, .762827996476789, 19.4400463275249,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
, 1733,, .607802920890526, 15.6169123079084,,Swedish Riksdaler,Silver,,Linkoping Grain Tunna,Litre,,(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history 34-2006) (ISBN 91-7264-098-7_ISSN 0347-254-X),,(www.iisg.nl)-(G.Hansson),
